,ZCTA5,STATE,COUNTY,state_fips,state,county_fips,county,class_code
14575,36083,01,087,01,AL,087,Macon County,H1
14576,36088,01,087,01,AL,087,Macon County,H1
14577,36089,01,011,01,AL,011,Bullock County,H1
14578,36089,01,087,01,AL,087,Macon County,H1
14579,36091,01,001,01,AL,001,Autauga County,H1
14580,36091,01,021,01,AL,021,Chilton County,H1
14581,36091,01,037,01,AL,037,Coosa County,H1
14582,36092,01,051,01,AL,051,Elmore County,H1
14583,36093,01,051,01,AL,051,Elmore County,H1
14584,36104,01,101,01,AL,101,Montgomery County,H1
14585,36105,01,101,01,AL,101,Montgomery County,H1
14586,36106,01,101,01,AL,101,Montgomery County,H1
14587,36107,01,101,01,AL,101,Montgomery County,H1
14588,36108,01,101,01,AL,101,Montgomery County,H1
14589,36109,01,101,01,AL,101,Montgomery County,H1
14590,36110,01,101,01,AL,101,Montgomery County,H1
14591,36111,01,101,01,AL,101,Montgomery County,H1
14592,36112,01,101,01,AL,101,Montgomery County,H1
14593,36113,01,101,01,AL,101,Montgomery County,H1
14594,36115,01,101,01,AL,101,Montgomery County,H1
14595,36116,01,101,01,AL,101,Montgomery County,H1
14596,36117,01,101,01,AL,101,Montgomery County,H1
14597,36201,01,015,01,AL,015,Calhoun County,H1
14598,36203,01,015,01,AL,015,Calhoun County,H1
14599,36203,01,121,01,AL,121,Talladega County,H1
14600,36205,01,015,01,AL,015,Calhoun County,H1
14601,36206,01,015,01,AL,015,Calhoun County,H1
14602,36207,01,015,01,AL,015,Calhoun County,H1
14603,36207,01,029,01,AL,029,Cleburne County,H1
14604,36250,01,015,01,AL,015,Calhoun County,H1
14605,36251,01,027,01,AL,027,Clay County,H1
14606,36255,01,027,01,AL,027,Clay County,H1
14607,36255,01,123,01,AL,123,Tallapoosa County,H1
14608,36256,01,027,01,AL,027,Clay County,H1
14609,36256,01,123,01,AL,123,Tallapoosa County,H1
14610,36258,01,027,01,AL,027,Clay County,H1
14611,36258,01,029,01,AL,029,Cleburne County,H1
14612,36258,01,111,01,AL,111,Randolph County,H1
14613,36260,01,015,01,AL,015,Calhoun County,H1
14614,36260,01,121,01,AL,121,Talladega County,H1
14615,36262,01,029,01,AL,029,Cleburne County,H1
14616,36263,01,111,01,AL,111,Randolph County,H1
14617,36264,01,029,01,AL,029,Cleburne County,H1
14618,36264,01,111,01,AL,111,Randolph County,H1
14619,36265,01,015,01,AL,015,Calhoun County,H1
14620,36266,01,027,01,AL,027,Clay County,H1
14621,36266,01,111,01,AL,111,Randolph County,H1
14622,36267,01,027,01,AL,027,Clay County,H1
14623,36268,01,027,01,AL,027,Clay County,H1
14624,36268,01,121,01,AL,121,Talladega County,H1
14625,36269,01,029,01,AL,029,Cleburne County,H1
14626,36271,01,015,01,AL,015,Calhoun County,H1
